Duration (ms),Status Code,Response Body,Timestamp
121,201,Lift ride recorded for skier 60796,09/03/2024 15:11:54
149,201,Lift ride recorded for skier 92966,09/03/2024 15:11:54
157,201,Lift ride recorded for skier 37395,09/03/2024 15:11:54
157,201,Lift ride recorded for skier 63924,09/03/2024 15:11:54
151,201,Lift ride recorded for skier 51745,09/03/2024 15:11:54
149,201,Lift ride recorded for skier 53636,09/03/2024 15:11:54
157,201,Lift ride recorded for skier 3982,09/03/2024 15:11:54
136,201,Lift ride recorded for skier 55752,09/03/2024 15:11:54
140,201,Lift ride recorded for skier 78487,09/03/2024 15:11:54
143,201,Lift ride recorded for skier 51439,09/03/2024 15:11:54
135,201,Lift ride recorded for skier 12215,09/03/2024 15:11:54
139,201,Lift ride recorded for skier 66332,09/03/2024 15:11:54
139,201,Lift ride recorded for skier 67039,09/03/2024 15:11:54
139,201,Lift ride recorded for skier 44169,09/03/2024 15:11:54
146,201,Lift ride recorded for skier 88093,09/03/2024 15:11:54
148,201,Lift ride recorded for skier 14580,09/03/2024 15:11:54
146,201,Lift ride recorded for skier 94492,09/03/2024 15:11:54
145,201,Lift ride recorded for skier 59381,09/03/2024 15:11:54
404,201,Lift ride recorded for skier 54300,09/03/2024 15:11:54
411,201,Lift ride recorded for skier 54354,09/03/2024 15:11:54
414,201,Lift ride recorded for skier 73402,09/03/2024 15:11:54
431,201,Lift ride recorded for skier 52789,09/03/2024 15:11:54
371,201,Lift ride recorded for skier 50715,09/03/2024 15:11:54
382,201,Lift ride recorded for skier 93922,09/03/2024 15:11:54
423,201,Lift ride recorded for skier 34255,09/03/2024 15:11:54
463,201,Lift ride recorded for skier 3609,09/03/2024 15:11:54
425,201,Lift ride recorded for skier 62054,09/03/2024 15:11:54
434,201,Lift ride recorded for skier 95194,09/03/2024 15:11:54
403,201,Lift ride recorded for skier 91918,09/03/2024 15:11:54
441,201,Lift ride recorded for skier 56170,09/03/2024 15:11:54
440,201,Lift ride recorded for skier 90720,09/03/2024 15:11:54
457,201,Lift ride recorded for skier 87692,09/03/2024 15:11:54
457,201,Lift ride recorded for skier 97675,09/03/2024 15:11:54
451,201,Lift ride recorded for skier 50018,09/03/2024 15:11:54
408,201,Lift ride recorded for skier 59965,09/03/2024 15:11:54
418,201,Lift ride recorded for skier 91396,09/03/2024 15:11:54
416,201,Lift ride recorded for skier 84750,09/03/2024 15:11:54
503,201,Lift ride recorded for skier 99342,09/03/2024 15:11:54
469,201,Lift ride recorded for skier 68677,09/03/2024 15:11:54
437,201,Lift ride recorded for skier 7080,09/03/2024 15:11:54
477,201,Lift ride recorded for skier 26731,09/03/2024 15:11:54
465,201,Lift ride recorded for skier 48213,09/03/2024 15:11:54
472,201,Lift ride recorded for skier 38884,09/03/2024 15:11:54
481,201,Lift ride recorded for skier 48102,09/03/2024 15:11:54
470,201,Lift ride recorded for skier 58252,09/03/2024 15:11:54
469,201,Lift ride recorded for skier 76735,09/03/2024 15:11:54
488,201,Lift ride recorded for skier 80208,09/03/2024 15:11:54
488,201,Lift ride recorded for skier 78664,09/03/2024 15:11:54
472,201,Lift ride recorded for skier 44756,09/03/2024 15:11:54
468,201,Lift ride recorded for skier 3293,09/03/2024 15:11:54
196,201,Lift ride recorded for skier 14924,09/03/2024 15:11:54
188,201,Lift ride recorded for skier 29453,09/03/2024 15:11:54
183,201,Lift ride recorded for skier 23686,09/03/2024 15:11:54
177,201,Lift ride recorded for skier 89204,09/03/2024 15:11:54
249,201,Lift ride recorded for skier 15974,09/03/2024 15:11:54
203,201,Lift ride recorded for skier 31060,09/03/2024 15:11:54
185,201,Lift ride recorded for skier 16321,09/03/2024 15:11:54
180,201,Lift ride recorded for skier 1852,09/03/2024 15:11:54
177,201,Lift ride recorded for skier 40788,09/03/2024 15:11:54
162,201,Lift ride recorded for skier 31317,09/03/2024 15:11:54
183,201,Lift ride recorded for skier 26194,09/03/2024 15:11:54
199,201,Lift ride recorded for skier 51478,09/03/2024 15:11:54
260,201,Lift ride recorded for skier 38619,09/03/2024 15:11:54
227,201,Lift ride recorded for skier 73214,09/03/2024 15:11:54
256,201,Lift ride recorded for skier 90056,09/03/2024 15:11:54
203,201,Lift ride recorded for skier 70863,09/03/2024 15:11:54
203,201,Lift ride recorded for skier 60743,09/03/2024 15:11:54
192,201,Lift ride recorded for skier 59435,09/03/2024 15:11:54
243,201,Lift ride recorded for skier 56453,09/03/2024 15:11:54
186,201,Lift ride recorded for skier 1896,09/03/2024 15:11:54
229,201,Lift ride recorded for skier 60866,09/03/2024 15:11:54
233,201,Lift ride recorded for skier 18673,09/03/2024 15:11:54
179,201,Lift ride recorded for skier 78339,09/03/2024 15:11:54
170,201,Lift ride recorded for skier 21164,09/03/2024 15:11:54
181,201,Lift ride recorded for skier 39345,09/03/2024 15:11:54
163,201,Lift ride recorded for skier 8787,09/03/2024 15:11:54
163,201,Lift ride recorded for skier 57675,09/03/2024 15:11:54
164,201,Lift ride recorded for skier 11672,09/03/2024 15:11:54
172,201,Lift ride recorded for skier 90357,09/03/2024 15:11:54
173,201,Lift ride recorded for skier 60683,09/03/2024 15:11:54
172,201,Lift ride recorded for skier 47722,09/03/2024 15:11:54
