Duration (ms),Status Code,Response Body,Timestamp
235,201,Lift ride recorded for skier 63560,10/03/2024 21:11:23
233,201,Lift ride recorded for skier 92464,10/03/2024 21:11:23
222,201,Lift ride recorded for skier 51927,10/03/2024 21:11:23
250,201,Lift ride recorded for skier 25807,10/03/2024 21:11:23
237,201,Lift ride recorded for skier 91984,10/03/2024 21:11:23
273,201,Lift ride recorded for skier 84790,10/03/2024 21:11:23
246,201,Lift ride recorded for skier 42141,10/03/2024 21:11:23
252,201,Lift ride recorded for skier 28884,10/03/2024 21:11:23
136,201,Lift ride recorded for skier 66240,10/03/2024 21:11:23
142,201,Lift ride recorded for skier 28919,10/03/2024 21:11:23
142,201,Lift ride recorded for skier 73856,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 44698,10/03/2024 21:11:23
139,201,Lift ride recorded for skier 23557,10/03/2024 21:11:23
102,201,Lift ride recorded for skier 94416,10/03/2024 21:11:23
153,201,Lift ride recorded for skier 77224,10/03/2024 21:11:23
105,201,Lift ride recorded for skier 70164,10/03/2024 21:11:23
151,201,Lift ride recorded for skier 382,10/03/2024 21:11:23
156,201,Lift ride recorded for skier 56043,10/03/2024 21:11:23
102,201,Lift ride recorded for skier 22400,10/03/2024 21:11:23
123,201,Lift ride recorded for skier 69824,10/03/2024 21:11:23
156,201,Lift ride recorded for skier 73511,10/03/2024 21:11:23
109,201,Lift ride recorded for skier 91879,10/03/2024 21:11:23
111,201,Lift ride recorded for skier 16840,10/03/2024 21:11:23
110,201,Lift ride recorded for skier 86494,10/03/2024 21:11:23
90,201,Lift ride recorded for skier 81606,10/03/2024 21:11:23
116,201,Lift ride recorded for skier 70776,10/03/2024 21:11:23
99,201,Lift ride recorded for skier 5331,10/03/2024 21:11:23
96,201,Lift ride recorded for skier 5756,10/03/2024 21:11:23
109,201,Lift ride recorded for skier 65662,10/03/2024 21:11:23
137,201,Lift ride recorded for skier 79631,10/03/2024 21:11:23
110,201,Lift ride recorded for skier 86400,10/03/2024 21:11:23
111,201,Lift ride recorded for skier 40362,10/03/2024 21:11:23
94,201,Lift ride recorded for skier 33052,10/03/2024 21:11:23
111,201,Lift ride recorded for skier 53850,10/03/2024 21:11:23
110,201,Lift ride recorded for skier 53360,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 38030,10/03/2024 21:11:23
126,201,Lift ride recorded for skier 27908,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 86982,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 63919,10/03/2024 21:11:23
77,201,Lift ride recorded for skier 67694,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 81360,10/03/2024 21:11:23
70,201,Lift ride recorded for skier 35311,10/03/2024 21:11:23
74,201,Lift ride recorded for skier 84704,10/03/2024 21:11:23
74,201,Lift ride recorded for skier 45767,10/03/2024 21:11:23
82,201,Lift ride recorded for skier 28969,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 21669,10/03/2024 21:11:23
74,201,Lift ride recorded for skier 49030,10/03/2024 21:11:23
82,201,Lift ride recorded for skier 59251,10/03/2024 21:11:23
84,201,Lift ride recorded for skier 84974,10/03/2024 21:11:23
94,201,Lift ride recorded for skier 98759,10/03/2024 21:11:23
86,201,Lift ride recorded for skier 48315,10/03/2024 21:11:23
94,201,Lift ride recorded for skier 7001,10/03/2024 21:11:23
81,201,Lift ride recorded for skier 20439,10/03/2024 21:11:23
81,201,Lift ride recorded for skier 89694,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 59778,10/03/2024 21:11:23
92,201,Lift ride recorded for skier 84053,10/03/2024 21:11:23
95,201,Lift ride recorded for skier 46831,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 87251,10/03/2024 21:11:23
65,201,Lift ride recorded for skier 71378,10/03/2024 21:11:23
76,201,Lift ride recorded for skier 57337,10/03/2024 21:11:23
76,201,Lift ride recorded for skier 53892,10/03/2024 21:11:23
70,201,Lift ride recorded for skier 30970,10/03/2024 21:11:23
78,201,Lift ride recorded for skier 70656,10/03/2024 21:11:23
78,201,Lift ride recorded for skier 21976,10/03/2024 21:11:23
78,201,Lift ride recorded for skier 34427,10/03/2024 21:11:23
91,201,Lift ride recorded for skier 49565,10/03/2024 21:11:23
92,201,Lift ride recorded for skier 70327,10/03/2024 21:11:23
89,201,Lift ride recorded for skier 23623,10/03/2024 21:11:23
75,201,Lift ride recorded for skier 29433,10/03/2024 21:11:23
90,201,Lift ride recorded for skier 80886,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 25886,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 72374,10/03/2024 21:11:23
92,201,Lift ride recorded for skier 2004,10/03/2024 21:11:23
94,201,Lift ride recorded for skier 40597,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 39139,10/03/2024 21:11:23
107,201,Lift ride recorded for skier 82436,10/03/2024 21:11:23
91,201,Lift ride recorded for skier 92089,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 54774,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 98590,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 92982,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 27467,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 95111,10/03/2024 21:11:23
86,201,Lift ride recorded for skier 2385,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 85279,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 93146,10/03/2024 21:11:23
103,201,Lift ride recorded for skier 46995,10/03/2024 21:11:23
93,201,Lift ride recorded for skier 114,10/03/2024 21:11:23
89,201,Lift ride recorded for skier 13630,10/03/2024 21:11:23
98,201,Lift ride recorded for skier 88379,10/03/2024 21:11:23
95,201,Lift ride recorded for skier 15343,10/03/2024 21:11:23
86,201,Lift ride recorded for skier 6459,10/03/2024 21:11:23
87,201,Lift ride recorded for skier 28896,10/03/2024 21:11:23
103,201,Lift ride recorded for skier 52224,10/03/2024 21:11:23
105,201,Lift ride recorded for skier 4970,10/03/2024 21:11:23
115,201,Lift ride recorded for skier 80612,10/03/2024 21:11:23
98,201,Lift ride recorded for skier 1064,10/03/2024 21:11:23
